Model,Dataset,Shot,Categorized,Strict Accuracy,Lenient Accuracy
gpt4o,PUMCH_ADM,manyshot,cat,52.77777777777778,73.61111111111111
gpt4o,PUMCH_ADM,noshot,cat,55.55555555555556,72.22222222222221
gpt4o,PUMCH_ADM,manyshot,nocat,55.55555555555556,73.61111111111111
gpt4o,PUMCH_ADM,noshot,nocat,54.16666666666666,69.44444444444444
gpt4o,LIRICAL,manyshot,cat,23.62204724409449,51.181102362204726
gpt4o,LIRICAL,noshot,cat,23.62204724409449,52.75590551181102
gpt4o,HMS,manyshot,cat,43.58974358974359,69.23076923076923
gpt4o,HMS,noshot,cat,33.33333333333333,57.692307692307686
gpt4o,MME,manyshot,cat,0.0,14.285714285714285
gpt4o,MME,noshot,cat,0.0,14.285714285714285
gpt4o,RAMEDIS,manyshot,cat,62.03208556149733,77.54010695187165
gpt4o,RAMEDIS,noshot,cat,59.35828877005348,80.21390374331551
gpt4o,RAMEDIS,manyshot,nocat,57.75401069518716,77.54010695187165
gpt4o,RAMEDIS,noshot,nocat,59.35828877005348,79.14438502673798
gpt4omini,PUMCH_ADM,manyshot,cat,36.11111111111111,54.16666666666666
gpt4omini,PUMCH_ADM,noshot,cat,38.88888888888889,56.94444444444444
gpt4omini,PUMCH_ADM,manyshot,nocat,43.05555555555556,55.55555555555556
gpt4omini,PUMCH_ADM,noshot,nocat,38.88888888888889,51.388888888888886
gpt4omini,LIRICAL,manyshot,cat,15.748031496062993,44.09448818897638
gpt4omini,LIRICAL,noshot,cat,13.385826771653544,32.28346456692913
gpt4omini,HMS,manyshot,cat,30.76923076923077,56.41025641025641
gpt4omini,HMS,noshot,cat,20.51282051282051,51.28205128205128
gpt4omini,MME,manyshot,cat,0.0,7.142857142857142
gpt4omini,MME,noshot,cat,0.0,7.142857142857142
gpt4omini,RAMEDIS,manyshot,cat,55.080213903743314,71.12299465240642
gpt4omini,RAMEDIS,noshot,cat,54.01069518716578,72.19251336898395
gpt4omini,RAMEDIS,manyshot,nocat,54.01069518716578,72.72727272727273
gpt4omini,RAMEDIS,noshot,nocat,54.01069518716578,73.2620320855615
c3opus,PUMCH_ADM,manyshot,cat,51.388888888888886,65.27777777777779
c3opus,PUMCH_ADM,noshot,cat,54.16666666666666,65.27777777777779
c3opus,PUMCH_ADM,manyshot,nocat,51.388888888888886,62.5
c3opus,PUMCH_ADM,noshot,nocat,51.388888888888886,62.5
c3opus,LIRICAL,manyshot,cat,25.984251968503933,47.24409448818898
c3opus,LIRICAL,noshot,cat,18.89763779527559,33.07086614173229
c3opus,HMS,manyshot,cat,48.71794871794872,67.94871794871796
c3opus,HMS,noshot,cat,32.05128205128205,57.692307692307686
c3opus,MME,manyshot,cat,28.57142857142857,35.714285714285715
c3opus,MME,noshot,cat,21.428571428571427,35.714285714285715
c3opus,RAMEDIS,manyshot,cat,60.42780748663101,75.93582887700535
c3opus,RAMEDIS,noshot,cat,65.24064171122996,75.93582887700535
c3opus,RAMEDIS,manyshot,nocat,64.70588235294117,79.67914438502673
c3opus,RAMEDIS,noshot,nocat,63.10160427807487,74.8663101604278
c3sonnet,PUMCH_ADM,manyshot,cat,47.22222222222222,69.44444444444444
c3sonnet,PUMCH_ADM,noshot,cat,36.11111111111111,52.77777777777778
c3sonnet,PUMCH_ADM,manyshot,nocat,44.44444444444444,61.11111111111112
c3sonnet,PUMCH_ADM,noshot,nocat,37.5,51.388888888888886
c3sonnet,LIRICAL,manyshot,cat,23.62204724409449,55.90551181102362
c3sonnet,LIRICAL,noshot,cat,18.89763779527559,49.60629921259843
c3sonnet,HMS,manyshot,cat,42.30769230769231,74.35897435897436
c3sonnet,HMS,noshot,cat,32.05128205128205,56.41025641025641
c3sonnet,MME,manyshot,cat,0.0,7.142857142857142
c3sonnet,MME,noshot,cat,0.0,17.857142857142858
c3sonnet,RAMEDIS,manyshot,cat,58.82352941176471,72.19251336898395
c3sonnet,RAMEDIS,noshot,cat,53.475935828877006,74.8663101604278
c3sonnet,RAMEDIS,manyshot,nocat,58.288770053475936,77.00534759358288
c3sonnet,RAMEDIS,noshot,nocat,54.01069518716578,71.65775401069519
